generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
21,utopian,10339,epistemic,false,false,true,true,0,0,0,0,0.825,0,0,0,0,0,0,initiator,0.8180637893168233,proactive,pluralist,0.3079992300042995,pref_epistemic,true,true,true,1
21,utopian,10340,legal,true,true,true,true,0,0,0,0,0.635,0,0,0,0,0,0,initiator,0.2253394068500738,reactive,utopian,0.8729076088171146,pref_legal,true,true,true,1
21,utopian,10341,epistemic,true,true,true,true,0,0,0,0,0.741,0,0,0,0,0,0,initiator,0.5868080101960674,reactive,utopian,0.28998737259367113,pref_epistemic,true,true,true,1
21,utopian,10342,apriori,false,true,true,false,0,0,0,0,0.725,0,0,0,0,0,0,mediator,0.211313490320013,reactive,pluralist,0.9611783529610312,pref_apriori,true,true,true,1
21,utopian,10343,apriori,false,true,true,false,0,0,0,0,0.758,0,0,0,0,0,0,responder,0.988788989470457,reactive,pluralist,0.9696513352813645,pref_apriori,true,true,true,1
21,utopian,10344,care,true,true,true,true,0,0,0,0,0.495,0,0,0,0,0,0,initiator,0.052812572639583166,reactive,utopian,0.4816920379737967,pref_care,true,true,true,1
21,utopian,10345,epistemic,true,true,true,true,0,0,0,0,1.000,0,0,0,0,0,0,mediator,0.6192683544517399,reactive,utopian,0.43195428536655395,pref_epistemic,true,true,true,1
21,utopian,10347,legal,true,true,true,true,0,0,0,0,0.576,0,0,0,0,0,0,disruptor,0.4274352257952705,proactive,utopian,0.5309132426909806,pref_legal,true,true,true,1
21,utopian,10348,legal,true,true,true,true,0,0,0,0,0.954,0,0,0,0,0,0,responder,0.36989634984581143,proactive,utopian,0.7500188946784385,pref_legal,true,true,true,1
21,utopian,10349,apriori,true,true,true,true,0,0,0,0,0.433,0,0,0,0,0,0,mediator,0.9559346691594154,reactive,utopian,0.44910277816096267,pref_apriori,true,true,true,1
21,utopian,10350,legal,true,true,true,true,0,0,0,0,0.772,0,0,0,0,0,0,mediator,0.4181088837883232,proactive,utopian,0.5814843883968219,pref_legal,true,true,true,1
21,utopian,10351,legal,true,true,true,true,0,0,0,0,0.984,0,0,0,0,0,0,disruptor,0.30490825769005314,reactive,utopian,0.8390959347082736,pref_legal,true,true,true,1
21,utopian,10352,legal,false,true,true,true,0,0,0,0,0.308,0,0,0,0,0,0,responder,0.25715756141401647,reactive,pluralist,0.7535740487253635,pref_legal,true,true,true,1
21,utopian,10353,apriori,false,true,true,true,0,0,0,0,0.686,0,0,0,0,0,0,initiator,0.8081293961726782,reactive,pluralist,0.7491456905747458,pref_apriori,true,true,true,1
21,utopian,10354,care,true,true,true,true,0,0,0,0,0.470,0,0,0,0,0,0,disruptor,0.9105806168575629,reactive,utopian,0.3612394877938232,pref_care,true,true,true,1
